"","name","mz","rt","Annotation.type","ID","compound.name","isotope","adduct","score","confidence"
"59","M439T536",439.09569,536.421,"adductAnnotation","C16071","Riboflavin cyclic-4',5'-phosphate","[M]","M+H",0.635921206596838,"grade2"
"60","M426T354",426.31519,353.886,"seed","C00695","Cholic acid","[M]","M+NH4",0.866633158072038,"grade1"
"61","M424T281",424.29977,281.28,"adductAnnotation","C01292","3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate","[M]","M+NH4",0.673768438099329,"grade2"
"62","M422T795",422.02996,795.181,"seed","C00015","UDP","[M]","M+NH4",0.864340904283402,"grade1"
"63","M422T820",422.03011,820.124,"metAnnotation","C00015","UDP","[M]","M+NH4",0.831273771638986,"grade2"
"64","M416T568",416.16925,568.342,"adductAnnotation","C00019","S-Adenosyl-L-methionine","[M]","M+NH4",0.706618604882429,"grade2"
"65","M407T282",407.27357,282.001,"adductAnnotation","C01292","3alpha,7alpha-Dihydroxy-12-oxo-5beta-cholanate","[M]","M+H",0.576380239613648,"grade2"
"66","M405T820",405.00464,819.724,"metAnnotation","C00015","UDP","[M]","M+H",0.864253354800282,"grade2"
"67","M400T291",400.33683,290.601,"metAnnotation","C02990","L-Palmitoylcarnitine","[M]","M+H",0.641520947973971,"grade2"
"68","M400T313",400.33715,313.417,"metAnnotation","C02990","L-Palmitoylcarnitine","[M]","M+H",0.673039671159974,"grade2"
"69","M399T438",399.19728,438.498,"adductAnnotation","C03423","O-beta-D-Glucosylzeatin","[M]","M+NH4",0.693279816665826,"grade2"
"70","M393T458",393.21791,458.396,"metAnnotation","C21070","(4-{4-[2-(gamma-L-Glutamylamino)ethyl]phenoxymethyl}furan-2-yl)methanamine","[M]","M+NH4",0.654309105534428,"grade2"
"71","M386T634",386.10856,634.315,"adductAnnotation","C03431","S-Inosyl-L-homocysteine","[M]","M+H",0.675040500001728,"grade2"
"72","M385T854",385.12735,854.0105,"seed","C00021","S-Adenosyl-L-homocysteine","[M]","M+H",0.898629548490724,"grade1"
"73","M385T720",385.12471,720.323,"seed","C00021","S-Adenosyl-L-homocysteine","[M]","M+H",0.901899504579082,"grade1"
"74","M382T499",382.17548,498.555,"adductAnnotation","C03423","O-beta-D-Glucosylzeatin","[M]","M+H",0.83759816666705,"grade2"
"75","M381T585",381.18187,585.024,"metAnnotation","C05556","delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine","[M]","M+NH4",0.771395543743909,"grade2"
"76","M381T702",381.18102,702.107,"adductAnnotation","C05556","delta-(L-2-Aminoadipyl)-L-cysteinyl-D-valine","[M]","M+NH4",0.742858483333559,"grade2"
"77","M380T807",380.11821,806.509,"metAnnotation","C03451","(R)-S-Lactoylglutathione","[M]","M+H",0.630964801333641,"grade2"
"78","M377T393",377.14085,393.4565,"adductAnnotation","C00255","Riboflavin","[M]","M+H",0.731773849999674,"grade2"
"79","M374T618",374.09655,617.528,"adductAnnotation","C03112","Deacetylcephalosporin C","[M]","M+H",0.658709199998706,"grade2"
"80","M370T751",370.09315,751.16,"adductAnnotation","C06187","Arbutin 6-phosphate","[M]","M+NH4",0.85156851666765,"grade2"
"81","M366T752",366.15175,752.338,"metAnnotation","C17951","N-Acetylbialaphos","[M]","M+H",0.445638621062921,"grade2"
"82","M366T831",366.09205,831.412,"metAnnotation","C14862","2-S-Glutathionyl acetate","[M]","M+H",0.752533701506788,"grade2"
"83","M366T952",366.0875,952.409,"seed","C00130","IMP","[M]","M+NH4",0.943328466756592,"grade1"
"84","M364T877",364.0608,876.858,"metAnnotation","C06193","Guanosine 3'-phosphate","[M]","M+H",0.804896822253607,"grade2"
"85","M360T738",360.1466,738.303,"adductAnnotation","C01083","alpha,alpha-Trehalose","[M]","M+NH4",0.797041233332322,"grade2"
"86","M360T854",360.14559,854.1365,"adductAnnotation","C00252","Isomaltose","[M]","M+NH4",0.707624566668092,"grade1"
"87","M360T937",360.1453,937.072,"adductAnnotation","C00208","Maltose","[M]","M+NH4",0.731957900001097,"grade1"
"88","M358T736",358.12948,735.93,"metAnnotation","C05403","3-Ketolactose","[M]","M+NH4",0.440529470768723,"grade2"
"89","M358T534",358.13,533.5505,"adductAnnotation","C14877","S-[2-(N7-Guanyl)ethyl]-N-acetyl-L-cysteine","[M]","M+NH4",0.879730033334681,"grade2"
"90","M355T929",355.06977,929.034,"metAnnotation","C01268","5-Amino-6-(5'-phosphoribosylamino)uracil","[M]","M+H",0.512578563849593,"grade2"
"91","M353T797",353.10809,796.959,"metAnnotation","C01031","S-Formylglutathione","[M]","M+NH4",0.513358742750468,"grade2"
"92","M353T751",353.06679,751.198,"adductAnnotation","C06187","Arbutin 6-phosphate","[M]","M+H",0.842113166665664,"grade2"
"93","M352T780",352.09514,779.5,"adductAnnotation","C00455","Nicotinamide D-ribonucleotide","[M]","M+NH4",0.490502216665732,"grade2"
"94","M350T688",350.09753,688.215,"metAnnotation","C14871","S-(Formylmethyl)glutathione","[M]","M+H",0.792832633454556,"grade2"
"95","M349T81",349.20919,81.116,"seed","C00437","N-Acetylornithine","[M]","2M+H",0.925190414394948,"grade1"
"96","M349T844",349.05089,844.431,"seed","C00130","IMP","[M]","M+H",0.940993929767385,"grade1"
"97","M348T554",348.06557,554.474,"seed","C00020","AMP","[M]","M+H",0.945639665100708,"grade1"
"98","M348T763",348.06617,762.6585,"seed","C00020","AMP","[M]","M+H",0.957416655286224,"grade1"
"99","M348T781",348.06628,781.1655,"metAnnotation","C00362","dGMP","[M]","M+H",0.867902488495237,"grade2"
"100","M348T817",348.06742,817.385,"seed","C01367","3'-AMP","[M]","M+H",0.933871558639211,"grade1"
"101","M347T802",347.19875,801.5925,"metAnnotation","C21160","L-Alanyl-gamma-D-glutamyl-L-lysine","[M]","M+H",0.709704019662242,"grade2"
"102","M347T773",347.18792,772.893,"metAnnotation","C21160","L-Alanyl-gamma-D-glutamyl-L-lysine","[M]","M+H",0.698745512477753,"grade2"
"103","M345T988",345.07361,988.239,"seed","C01081","Thiamin monophosphate","[M]","M+H",0.891448819049254,"grade1"
"104","M345T43",345.03619,42.586,"seed","C00093","sn-Glycerol 3-phosphate","[M]","2M+H",0.852400055222516,"grade1"
"105","M345T652",345.03015,652.032,"seed","C00093","sn-Glycerol 3-phosphate","[M]","2M+H",0.902326145319213,"grade1"
"106","M344T619",344.14944,619.087,"adductAnnotation","C04332","6,7-Dimethyl-8-(D-ribityl)lumazine","[M]","M+NH4",0.596822000000922,"grade2"
"107","M343T937",343.1193,937.0945,"adductAnnotation","C00208","Maltose","[M]","M+H",0.760413250000283,"grade1"
"108","M343T728",343.11909,728.48,"seed","C00252","Isomaltose","[M]","M+H",0.682491472098702,"grade1"
"109","M342T716",342.0688,715.659,"metAnnotation","C00105","UMP","[M]","M+NH4",0.840176319867631,"grade2"
