name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
M233T570,233.10388,570.046,metAnnotation;adductAnnotation;adductAnnotation;adductAnnotation,C00666;C15767;C21015;C03415,M232T571;M215T570;M215T570;M215T570,C04390;C15767;C21015;C03415,"N6-Acetyl-LL-2,6-diaminoheptanedioate;4-(L-gamma-Glutamylamino)butanoate;gamma-L-Glutamyl-L-2-aminobutyrate;N2-Succinyl-L-ornithine",[M];[M];[M];[M],M+H;M+H;M+H;M+H,C9H16N2O5;C9H16N2O5;C9H16N2O5;C9H16N2O5,0.534022279786795;0.476162550000159;0.476162550000159;0.476162550000159,C21015_2;C15767_2;C04390_3;C03415_2,grade3;grade3;grade3;grade3
M233T478_1,233.11015,477.692,metAnnotation;adductAnnotation;adductAnnotation,C00979;C01152;C03298,M211T572;M187T478;M187T478,C04390;C01152;C03298,"N6-Acetyl-LL-2,6-diaminoheptanedioate;N(pi)-Methyl-L-histidine;Nalpha-Methylhistidine",[M];[M];[M],M+H;M+CH3CN+Na;M+CH3CN+Na,C9H16N2O5;C7H11N3O2;C7H11N3O2,0.626695332980342;0.448506233333395;0.448506233333395,C03298_1;C01152_1;C04390_1,grade2;grade2;grade2
M233T58,233.10882,58.0955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T900,233.12163,900.1905,seed,"NA","NA",C03793,"N6,N6,N6-Trimethyl-L-lysine",[M],M-H+2Na,C9H20N2O2,0.908419515842092,C03793_1,grade1
M233T571,233.1295,570.6445,isotopeAnnotation;isotopeAnnotation;isotopeAnnotation;adductAnnotation,C00680;C00666;C04546;C18472,M232T571;M232T571;M232T571;M195T572,C00680;C00666;C04546;C18472,"meso-2,6-Diaminoheptanedioate;LL-2,6-Diaminoheptanedioate;(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate;L-Capreomycidine",[M+1];[M+1];[M+1];[M],M+CH3CN+H;M+CH3CN+H;M+CH3CN+H;M+CH3COO+2H,C7H14N2O4;C7H14N2O4;C8H14O5;C6H12N4O2,0.859858088977096;0.859858088977096;0.647746987399742;0.593922816666312,C04546_3;C18472_1;C00680_2;C00666_2,grade2;grade2;grade2;grade2
M233T907,233.14727,906.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T735,233.14654,734.749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T434,233.14664,434.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T588,233.14663,588.058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T456,233.14666,456.361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T478_2,233.15421,478.1985,isotopeAnnotation,C20560,M232T477,C20560,N1-(3-Aminopropyl)agmatine,[M+1],M+2Na-H,C8H21N5,0.861494171807765,C20560_1,grade2
M233T79,233.14948,78.9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T57,233.15071,56.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T1372,233.17152,1371.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T1346,233.17165,1346.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T1304,233.1718,1303.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M233T412,233.18317,411.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M234T662,233.92989,662.235,metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation;metAnnotation,C03589;C03589;C03589;C00133;C01118;C01586,M209T655;M209T655;M209T655;M166T659;M220T680;M180T454,C00188;C00820;C05519;C02115;C00263;C12317,L-Threonine;D-Threonine;L-Allothreonine;2-Methylserine;L-Homoserine;D-Allothreonine,[M];[M];[M];[M];[M];[M],M-2H+3K;M-2H+3K;M-2H+3K;M-2H+3K;M-2H+3K;M-2H+3K,C4H9NO3;C4H9NO3;C4H9NO3;C4H9NO3;C4H9NO3;C4H9NO3,0.886614617717844;0.886614617717844;0.886614617717844;0.865384273476256;0.710093396555851;0.697612344859777,C00188_6;C00263_6;C00820_6;C05519_6;C12317_6;C02115_6,grade2;grade2;grade2;grade2;grade2;grade2
M234T710,234.03203,709.604,adductAnnotation;adductAnnotation;adductAnnotation,C03871;C00624;C08538,M256T710;M256T710;M256T710,C03871;C00624;C08538,L-2-Amino-6-oxoheptanedioate;N-Acetyl-L-glutamate;Betalamic acid,[M];[M];[M],M+2Na-H;M+2Na-H;M+Na,C7H11NO5;C7H11NO5;C9H9NO5,0.829854899999759;0.829854899999759;0.709491649998938,C03871_2;C08538_3;C00624_5,grade2;grade2;grade2
M234T743,234.05917,743.2405,isotopeAnnotation,C00669,M233T743,C00669,gamma-L-Glutamyl-L-cysteine,[M+1],M+H-H2O,C8H14N2O5S,0.823465326823785,C00669_5,grade1
